Original Tagalog,Tokens,Reference English,Parsed,Parsed Tree (Compact),Parsed Tree (Pretty Single Line),Rewritten Tree (Compact),Rewritten Tree (Pretty Single Line),Rewritten Tagalog Text,Simple Lexical Translation
May asong sumunod sa akin sa paaralan.,may asong sumunod sa akin sa paaralan.,A dog followed me to my school.,True,"(S
  (V may)
  (NP (NP (N asong)) (V sumunod))
  (PP (P sa) (NP (Pronoun akin)))
  (NP (P sa) (N paaralan.)))",(S  (V may)  (NP (NP (N asong)) (V sumunod))  (PP (P sa) (NP (Pronoun akin)))  (NP (P sa) (N paaralan.))),"(S
  (V may)
  (NP (NP (N asong)) (V sumunod))
  (PP (P sa) (NP (Pronoun akin)))
  (NP (P sa) (N paaralan.)))",(S  (V may)  (NP (NP (N asong)) (V sumunod))  (PP (P sa) (NP (Pronoun akin)))  (NP (P sa) (N paaralan.))),may asong sumunod sa akin sa paaralan.,Have/has/there is dog followed to/at/in my/mine to/at/in [paaralan.]
Hindi niya kailangang magtrabaho.,hindi niya kailangang magtrabaho.,She doesn't need to work.,True,"(S
  (V hindi)
  (NP (NP (NP (Pronoun niya)) (V kailangang)) (N magtrabaho.)))",(S  (V hindi)  (NP (NP (NP (Pronoun niya)) (V kailangang)) (N magtrabaho.))),"(S
  (V hindi)
  (NP (NP (NP (Pronoun niya)) (V kailangang)) (N magtrabaho.)))",(S  (V hindi)  (NP (NP (NP (Pronoun niya)) (V kailangang)) (N magtrabaho.))),hindi niya kailangang magtrabaho.,Not his/her need to [magtrabaho.]
Hindi niya kailangang magtrabaho.,hindi niya kailangang magtrabaho.,He doesn't need to work.,True,"(S
  (V hindi)
  (NP (NP (NP (Pronoun niya)) (V kailangang)) (N magtrabaho.)))",(S  (V hindi)  (NP (NP (NP (Pronoun niya)) (V kailangang)) (N magtrabaho.))),"(S
  (V hindi)
  (NP (NP (NP (Pronoun niya)) (V kailangang)) (N magtrabaho.)))",(S  (V hindi)  (NP (NP (NP (Pronoun niya)) (V kailangang)) (N magtrabaho.))),hindi niya kailangang magtrabaho.,Not his/her need to [magtrabaho.]
Pagod siya sa kakalakad sa mga museo.,pagod siya sa kakalakad sa mga museo.,He was tired from walking round museums.,False,Not Parsed,Not Parsed,Not Parsed,Not Parsed,Not Parsed,Tired he/she to/at/in walking (repetitive) to/at/in those [museo.]
Ano'ng klase ng karne ang ihinahain niyo?,ano'ng klase ng karne ang ihinahain niyo?,What kinds of meat dishes do you serve?,True,"(S
  (NP (NP (NP (N ano'ng)) (N klase)) (PP (P ng) (N karne)))
  (NP (NP (DET ang) (V ihinahain)) (N niyo?)))",(S  (NP (NP (NP (N ano'ng)) (N klase)) (PP (P ng) (N karne)))  (NP (NP (DET ang) (V ihinahain)) (N niyo?))),"(S
  (NP (NP (NP (N ano'ng)) (N klase)) (PP (P ng) (N karne)))
  (NP (NP (DET ang) (V ihinahain)) (N niyo?)))",(S  (NP (NP (NP (N ano'ng)) (N klase)) (PP (P ng) (N karne)))  (NP (NP (DET ang) (V ihinahain)) (N niyo?))),ano'ng klase ng karne ang ihinahain niyo?,[ano'ng] class/kind of meat [ang] serving [niyo?]
Sigurado akong magreretiro siya sa trabaho niya. ,sigurado akong magreretiro siya sa trabaho niya.,I am certain that he will quit his job.,True,"(S
  (NP
    (Adj (Adj sigurado) (NP (NP (Pronoun akong)) (V magreretiro)))
    (NP (Pronoun siya)))
  (P sa)
  (NP (NP (N trabaho)) (N niya.)))",(S  (NP   (Adj (Adj sigurado) (NP (NP (Pronoun akong)) (V magreretiro)))   (NP (Pronoun siya)))  (P sa)  (NP (NP (N trabaho)) (N niya.))),"(S
  (NP
    (Adj (Adj sigurado) (NP (NP (Pronoun akong)) (V magreretiro)))
    (NP (Pronoun siya)))
  (P sa)
  (NP (NP (N trabaho)) (N niya.)))",(S  (NP   (Adj (Adj sigurado) (NP (NP (Pronoun akong)) (V magreretiro)))   (NP (Pronoun siya)))  (P sa)  (NP (NP (N trabaho)) (N niya.))),sigurado akong magreretiro siya sa trabaho niya.,Sure/certain i will retire he/she to/at/in work/job [niya.]
Sinasabi nila na iwasan ang tsismis.,sinasabi nila na iwasan ang tsismis.,They say to avoid gossip.,True,"(S
  (VP (V sinasabi) (NP (NP (N nila)) (Adv na)) (V iwasan))
  (NP (DET ang) (N tsismis.)))",(S  (VP (V sinasabi) (NP (NP (N nila)) (Adv na)) (V iwasan))  (NP (DET ang) (N tsismis.))),"(S
  (NP (DET ang) (N tsismis.))
  (VP (V sinasabi) (NP (NP (N nila)) (Adv na)) (V iwasan)))",(S  (NP (DET ang) (N tsismis.))  (VP (V sinasabi) (NP (NP (N nila)) (Adv na)) (V iwasan))),ang tsismis. sinasabi nila na iwasan,[ang] [tsismis.] saying they now/already avoid
Ayaw mo bang pumunta sa salusalo?,ayaw mo bang pumunta sa salusalo?,Don't you want to go to the party?,True,"(S
  (VP (V ayaw) (NP (NP (Pronoun mo)) (Particle bang)) (V pumunta))
  (NP (P sa) (N salusalo?)))",(S  (VP (V ayaw) (NP (NP (Pronoun mo)) (Particle bang)) (V pumunta))  (NP (P sa) (N salusalo?))),"(S
  (NP (P sa) (N salusalo?))
  (VP (V ayaw) (NP (NP (Pronoun mo)) (Particle bang)) (V pumunta)))",(S  (NP (P sa) (N salusalo?))  (VP (V ayaw) (NP (NP (Pronoun mo)) (Particle bang)) (V pumunta))),sa salusalo? ayaw mo bang pumunta,To/at/in [salusalo?] don't want you/your [bang] went
"Madalas silang nag-uusap, harap-harapan at sa pamamagitan ng telepono.","madalas silang nag-uusap, harap-harapan at sa pamamagitan ng telepono.","They talk a lot to one another, over the telephone and in person.",True,"(S
  (NP
    (NP
      (Adv madalas)
      (NP
        (NP (NP (Pronoun silang)) (N nag-uusap,))
        (Adv harap-harapan)))
    (CONJ at)
    (NP (P sa) (N pamamagitan)))
  (NP (P ng) (N telepono.)))","(S  (NP   (NP    (Adv madalas)    (NP     (NP (NP (Pronoun silang)) (N nag-uusap,))     (Adv harap-harapan)))   (CONJ at)   (NP (P sa) (N pamamagitan)))  (NP (P ng) (N telepono.)))","(S
  (NP
    (NP
      (Adv madalas)
      (NP
        (NP (NP (Pronoun silang)) (N nag-uusap,))
        (Adv harap-harapan)))
    (CONJ at)
    (NP (P sa) (N pamamagitan)))
  (NP (P ng) (N telepono.)))","(S  (NP   (NP    (Adv madalas)    (NP     (NP (NP (Pronoun silang)) (N nag-uusap,))     (Adv harap-harapan)))   (CONJ at)   (NP (P sa) (N pamamagitan)))  (NP (P ng) (N telepono.)))","madalas silang nag-uusap, harap-harapan at sa pamamagitan ng telepono.","Often they [nag-uusap,] face-to-face and to/at/in means of [telepono.]"
Sigurado siya na ayaw mong pumunta sa salusalo.,sigurado siya na ayaw mong pumunta sa salusalo.,nan,True,"(S
  (NP
    (NP
      (Adj sigurado)
      (NP (NP (NP (Pronoun siya)) (Adv na)) (V ayaw)))
    (N mong))
  (V pumunta)
  (NP (P sa) (N salusalo.)))",(S  (NP   (NP    (Adj sigurado)    (NP (NP (NP (Pronoun siya)) (Adv na)) (V ayaw)))   (N mong))  (V pumunta)  (NP (P sa) (N salusalo.))),"(S
  (NP
    (NP
      (Adj sigurado)
      (NP (NP (NP (Pronoun siya)) (Adv na)) (V ayaw)))
    (N mong))
  (V pumunta)
  (NP (P sa) (N salusalo.)))",(S  (NP   (NP    (Adj sigurado)    (NP (NP (NP (Pronoun siya)) (Adv na)) (V ayaw)))   (N mong))  (V pumunta)  (NP (P sa) (N salusalo.))),sigurado siya na ayaw mong pumunta sa salusalo.,Sure/certain he/she now/already don't want [mong] went to/at/in [salusalo.]
Hindi siya nakarating kahapon.,hindi siya nakarating kahapon.,He failed to come yesterday.,True,"(S
  (V hindi)
  (NP (NP (NP (Pronoun siya)) (V nakarating)) (N kahapon.)))",(S  (V hindi)  (NP (NP (NP (Pronoun siya)) (V nakarating)) (N kahapon.))),"(S
  (V hindi)
  (NP (NP (NP (Pronoun siya)) (V nakarating)) (N kahapon.)))",(S  (V hindi)  (NP (NP (NP (Pronoun siya)) (V nakarating)) (N kahapon.))),hindi siya nakarating kahapon.,Not he/she arrived [kahapon.]
Noon ay sampung taong gulang lang siya.,noon ay sampung taong gulang lang siya.,He was then a boy of ten.,True,"(S
  (Adv noon)
  (AY ay)
  (NP (NP (Number sampung) (N taong)) (N gulang))
  (Particle lang)
  (NP (N siya.)))",(S  (Adv noon)  (AY ay)  (NP (NP (Number sampung) (N taong)) (N gulang))  (Particle lang)  (NP (N siya.))),"(S
  (Adv noon)
  (AY ay)
  (NP (NP (Number sampung) (N taong)) (N gulang))
  (Particle lang)
  (NP (N siya.)))",(S  (Adv noon)  (AY ay)  (NP (NP (Number sampung) (N taong)) (N gulang))  (Particle lang)  (NP (N siya.))),noon ay sampung taong gulang lang siya.,Then/before [ay] ten person age only/just [siya.]
Hindi mo masasabi kung gaano katagal itong mga pagpupulong na ito.,hindi mo masasabi kung gaano katagal itong mga pagpupulong na ito.,You can never tell how long these meetings will last.,False,Not Parsed,Not Parsed,Not Parsed,Not Parsed,Not Parsed,Not you/your can say if/when how much/many how long this those [pagpupulong] now/already [ito.]
Dumating kami sa paliparan tatlong oras bago ang paglipad.,dumating kami sa paliparan tatlong oras bago ang paglipad.,We arrived at the airport three hours before our flight.,True,"(S
  (VP (V dumating) (Pronoun kami) (NP (P sa) (N paliparan)))
  (NP
    (Adj tatlong)
    (NP (N oras) (P bago) (NP (DET ang) (N paglipad.)))))",(S  (VP (V dumating) (Pronoun kami) (NP (P sa) (N paliparan)))  (NP   (Adj tatlong)   (NP (N oras) (P bago) (NP (DET ang) (N paglipad.))))),"(S
  (NP
    (Adj tatlong)
    (NP (N oras) (P bago) (NP (DET ang) (N paglipad.))))
  (VP (V dumating) (Pronoun kami) (NP (P sa) (N paliparan))))",(S  (NP   (Adj tatlong)   (NP (N oras) (P bago) (NP (DET ang) (N paglipad.))))  (VP (V dumating) (Pronoun kami) (NP (P sa) (N paliparan)))),tatlong oras bago ang paglipad. dumating kami sa paliparan,Three time/hour before [ang] [paglipad.] arrived we (excl.) to/at/in airport
Makikiraan po.,makikiraan po.,"Make way, please.",True,(S (V makikiraan) (NP (N po.))),(S (V makikiraan) (NP (N po.))),(S (V makikiraan) (NP (N po.))),(S (V makikiraan) (NP (N po.))),makikiraan po.,Will pass by [po.]
Gusto ng lahat ang kaligayahan.,gusto ng lahat ang kaligayahan.,Everybody desires happiness.,True,(S (V gusto) (NP (P ng) (N lahat)) (NP (DET ang) (N kaligayahan.))),(S (V gusto) (NP (P ng) (N lahat)) (NP (DET ang) (N kaligayahan.))),(S (V gusto) (NP (P ng) (N lahat)) (NP (DET ang) (N kaligayahan.))),(S (V gusto) (NP (P ng) (N lahat)) (NP (DET ang) (N kaligayahan.))),gusto ng lahat ang kaligayahan.,Like/want of everyone/all [ang] [kaligayahan.]
Ang balita ko nagkasakit ka raw.,ang balita ko nagkasakit ka raw.,I've heard you've been sick.,True,"(S
  (NP (DET ang) (N balita) (Pronoun ko))
  (V nagkasakit)
  (NP (NP (Pronoun ka)) (N raw.)))",(S  (NP (DET ang) (N balita) (Pronoun ko))  (V nagkasakit)  (NP (NP (Pronoun ka)) (N raw.))),"(S
  (NP (DET ang) (N balita) (Pronoun ko))
  (V nagkasakit)
  (NP (NP (Pronoun ka)) (N raw.)))",(S  (NP (DET ang) (N balita) (Pronoun ko))  (V nagkasakit)  (NP (NP (Pronoun ka)) (N raw.))),ang balita ko nagkasakit ka raw.,[ang] news [ko] got sick you [raw.]
