743803	Hindi ka makakaasa sa kanya.	299806	He can be relied on.
743804	Sinuwerte siya at nanalo sa lotto.	673205	She beat the odds and won the lottery.
743805	Nakita ko 'yong taong pumasok sa silid.	254545	I saw the man enter the room.
743806	May asong biglang dumamba sa akin.	239125	A dog suddenly jumped at me.
743807	Sino'ng darating?	619673	Who is coming?
743808	Magaling na atleta si Ken.	238894	Ken is quite an athlete.
743810	Nakita ko ang asong dumamba sa silid.	239126	I saw the dog jump into the room.
743811	Naglakad ako nang mabilis para maabutan ang unang tren.	27240	I walked quickly so that I might catch the first train.
743812	Huwag mo kalimutang magdala ng kape.	Don't forget to take coffee.
743813	Nakita ko ang anak niyang babae.	I saw his daughter.
